DateTime,AddedIPs,RemovedIPs
1547327333,0,1
1547329490,0,1
1547337394,0,1
1547339570,0,1
1547341472,1,1
1547343399,0,1
1547347456,0,1
1547349653,1,0
1547351780,1,1
1547353962,0,1
1547363804,1,0
1547365953,1,0
1547371726,1,0
1547379626,0,1
1547387332,1,0
1547393569,0,1
1547409409,1,0
1547429083,0,1
1547433165,1,0
1547436992,1,1
1547449003,0,1
1547453099,1,0
1547457183,1,2
1547459089,0,1
1547467244,1,0
1547469283,1,0
1547479016,1,0
1547494380,1,0
1547509180,1,0
1547511158,0,1
1547520988,0,1
1547526748,1,0
1547534932,0,1
1547536835,1,0
1547538742,1,1
1547546702,0,1
1547552699,1,0
1547554864,2,0
1547556768,0,1
1547564543,1,1
1547582711,1,0
1547594465,0,1
1547598307,1,0
1547600206,1,0
1547604110,1,0
1547605960,2,1
1547607952,1,0
1547613879,3,2
1547619870,1,0
1547623723,0,1
1547626614,0,1
1547634513,1,0
1547638843,1,0
1547641004,0,2
1547642910,1,0
1547644841,1,0
1547648662,1,0
1547652506,1,1
1547656376,1,0
1547666905,1,0
1547668871,0,1
1547684898,0,1
1547687107,1,1
1547691150,0,2
1547694987,1,1
1547700973,0,3
1547703160,0,1
1547707235,0,2
1547727177,0,1
1547733150,0,1
1547735106,1,0
1547738905,0,1
1547740906,1,0
1547742782,0,1
1547746853,1,1
1547748794,1,0
1547752859,0,2
1547756685,1,0
1547774204,1,0
1547776228,1,0
1547779974,1,0
1547781907,0,1
1547785952,1,0
1547787937,0,1
1547790063,1,0
1547797706,1,0
1547817396,1,0
1547821492,0,1
1547835895,0,1
1547859723,1,0
1547861582,0,1
1547863468,1,0
1547865654,0,1
1547871657,0,1
1547875477,1,0
1547877382,0,1
1547883173,0,1
1547893265,0,1
1547914686,1,0
1547920888,0,1
1547926587,1,0
1547930674,2,1
1547940751,1,0
1547946512,0,1
1547948460,1,0
1547954197,0,1
1547956107,1,0
1547958054,0,1
1547961886,1,1
1547969605,1,0
1547988985,2,0
1547995247,0,1
1547999094,1,0
1548001003,1,1
1548004857,1,0
1548014723,1,1
1548022588,1,0
1548024809,1,0
1548028969,0,1
1548033447,1,0
1548035307,0,1
1548048746,0,1
1548052581,1,0
1548054754,1,0
1548056668,0,1
1548058620,0,1
1548070609,1,1
1548076490,0,1
1548078532,0,1
1548082388,1,0
1548084307,1,0
1548086493,0,3
1548090324,0,1
1548092201,0,1
1548098203,1,0
1548100120,0,1
1548119795,0,1
1548123889,1,0
1548127735,2,0
1548129700,0,1
1548147165,1,0
1548158711,0,1
1548162534,1,0
1548170475,0,1
1548176205,0,1
1548178099,1,1
1548181960,1,0
1548185780,0,1
1548187955,1,0
1548191786,1,0
1548195621,2,0
1548201791,2,0
1548213178,0,2
1548230951,1,0
1548232853,0,1
1548234996,0,1
1548239677,0,1
1548261409,0,1
1548265487,0,1
1548271472,1,0
1548273414,0,1
1548275565,1,0
1548279650,0,3
1548281556,0,1
1548287583,1,2
1548295515,1,0
1548297418,1,0
1548317116,1,1
1548327167,1,0
1548334930,1,0
1548339160,2,0
1548343250,1,0
1548349301,2,0
1548357170,1,1
1548359064,1,0
1548362926,0,1
1548372528,0,1
1548376622,0,1
1548378758,1,0
1548382625,0,1
1548386692,0,1
1548388584,1,0
1548396510,1,0
1548412364,0,1
1548420040,0,1
1548423871,1,0
1548427966,10,0
1548429875,3,1
1548431814,1,0
1548441864,2,0
1548453909,0,1
1548459624,0,1
1548467548,1,0
1548469485,0,1
1548473338,0,1
1548484863,1,0
1548486783,0,1
1548498306,1,0
1548506230,1,0
1548508115,1,0
1548510039,0,1
1548514139,0,8
1548516056,0,5
1548523701,1,0
1548525753,1,0
1548527800,0,4
1548529723,0,1
1548531627,1,0
1548553023,0,1
1548564764,1,0
1548570545,0,1
1548572531,1,0
1548585872,1,0
1548589959,1,0
1548597904,1,0
1548619019,0,2
1548624759,1,1
1548649637,0,1
1548651813,0,1
1548653684,0,1
1548671075,0,1
1548673352,0,1
1548675155,0,1
1548681142,1,1
1548685260,0,1
1548687187,0,1
1548708303,0,1
1548712129,1,0
1548716223,1,0
1548720305,1,1
1548722189,1,0
1548730110,1,0
1548732040,1,0
1548733974,0,1
1548751485,1,0
1548755327,1,0
1548791107,1,0
1548805534,1,0
1548807525,0,1
1548819409,0,1
1548837169,0,1
1548858973,1,1
1548865260,0,1
1548877009,1,0
1548878937,0,1
1548880833,0,1
1548890923,0,1
1548905086,0,1
1548911126,1,1
1548925004,0,1
1548926898,1,0
1548940357,1,0
1548949948,2,0
1548955975,2,0
1548963870,1,0
1548981390,1,0
1548989561,1,0
1548997252,0,1
1549005187,1,0
1549018972,1,0
1549030346,1,0
1549036134,0,3
1549038033,2,0
1549041893,0,1
1549045708,1,1
1549051513,1,0
